county_fips,y2_countyname,returns,exemptions,agi
'31153',Sarpy County,3503,6883,190418
'19155',Pottawattamie County,689,1337,30984
'31109',Lancaster County,555,843,23361
'31177',Washington County,275,622,21262
'04013',Maricopa County,258,467,20749
'31025',Cass County,194,399,11336
'31053',Dodge County,192,374,7947
'17031',Cook County,166,252,15816
'31155',Saunders County,125,252,8041
'20091',Johnson County,111,217,10258
'19153',Polk County,108,200,6584
'29095',Jackson County,100,165,5731
'06037',Los Angeles County,99,158,5553
'27053',Hennepin County,99,159,6411
'48113',Dallas County,98,182,5059
'08031',Denver County,92,120,6323
'48201',Harris County,90,148,6242
'32003',Clark County,88,172,7416
'08005',Arapahoe County,78,120,3604
'06073',San Diego County,76,139,5093
'19129',Mills County,75,162,5805
'08041',El Paso County,71,127,4032
'53033',King County,69,110,4157
'31079',Hall County,66,121,2899
'48439',Tarrant County,65,140,4763
'48029',Bexar County,59,116,3059
'48453',Travis County,55,93,3952
'06059',Orange County,53,97,4675
'31019',Buffalo County,51,86,2467
'46099',Minnehaha County,48,106,2971
'19193',Woodbury County,46,94,2309
'31119',Madison County,46,89,2556
'08069',Larimer County,45,77,3582
'19085',Harrison County,45,87,1879
'12057',Hillsborough County,44,84,4289
'49035',Salt Lake County,43,81,1953
'31141',Platte County,41,79,1783
'41051',Multnomah County,41,74,1559
'08059',Jefferson County,40,82,2812
'20173',Sedgwick County,40,70,1983
'27123',Ramsey County,40,83,2078
'29189',St. Louis County,40,81,2973
'48121',Denton County,39,88,3996
'57005',Foreign - APO/FPO ZIPs,39,87,1954
'12031',Duval County,38,74,3909
'08001',Adams County,37,56,2186
'29047',Clay County,36,70,3772
'08035',Douglas County,34,72,3901
'31111',Lincoln County,34,57,1564
'31131',Otoe County,34,62,2400
'08013',Boulder County,33,62,2972
'12103',Pinellas County,31,56,2383
'19049',Dallas County,31,64,2550
'36061',New York County,31,42,2266
'48085',Collin County,31,80,2541
'13121',Fulton County,29,55,1487
'31021',Burt County,29,60,1429
'06001',Alameda County,28,52,1832
'06085',Santa Clara County,28,65,4788
'39049',Franklin County,28,69,1235
'40143',Tulsa County,27,51,2064
'06065',Riverside County,26,45,1596
'12011',Broward County,26,34,1033
'15003',Honolulu County,26,37,1274
'18097',Marion County,26,51,731
'04019',Pima County,25,40,1475
'12086',Miami-Dade County,25,60,837
'36047',Kings County,25,36,870
'41067',Washington County,25,36,1624
'51059',Fairfax County,25,43,2536
'19103',Johnson County,24,39,1556
'31001',Adams County,24,45,1458
'48491',Williamson County,24,52,2277
'37119',Mecklenburg County,23,45,1803
'06071',San Bernardino County,22,46,998
'12095',Orange County,22,43,2177
'13135',Gwinnett County,22,44,907
'29165',Platte County,22,31,1905
'31043',Dakota County,22,41,575
'38017',Cass County,22,37,921
'06075',San Francisco County,21,24,1062
'13089',DeKalb County,21,38,1410
'19047',Crawford County,21,43,646
'55079',Milwaukee County,21,30,869
'04021',Pinal County,20,36,964
'11001',District of Columbia,20,25,1857
'12071',Lee County,20,42,2532
'17043',DuPage County,20,30,2358
'17097',Lake County,20,40,2114
'29510',St. Louis city,20,36,1019
'31047',Dawson County,20,41,920
'31157',Scotts Bluff County,20,36,1049
'37183',Wake County,20,45,1807
'53053',Pierce County,20,30,799
'55025',Dane County,20,35,1406
